'MRR_N_NECTAR_RETAILER_ID'	'MRR_N_INTERMEDIARY_ID'	'MRR_N_ADVERTISER_ID'
444	4	3605
4	4	3739
3000183	4	4454
3000184	4	988
3000213	3	213217
3000214	4	3022
79	9	24302
464	3	236409
3000512	4	4982
3000513	4	5478
2400997	4	3100
3000208	4	3680
3000209	4	3454
3000210	4	2747
3000211	4	3487
3000273	9	35713
3000274	9	36322
3000275	9	36192
3000276	9	35703
3000277	9	35979
3000278	9	37783
3000279	9	37018
3000280	9	37327
3000281	9	36977
3000282	9	36813
3000283	9	36984
3000295	8	2096
3000296	8	573
3000297	8	4840
3000298	4	1931
3000299	4	3993
3000300	8	1516
3000301	4	3944
3000302	8	4259
3000303	3	98480
3000304	4	3780
3000305	4	3769
12813	4	3742
149	9	24423
3000307	9	36338
3000308	9	36931
3000309	9	36506
3000310	9	36720
3000311	9	37214
3000312	9	35482
3000313	9	24340
3000314	9	37272
3000315	9	36168
3000316	9	35352
3000317	9	36959
3000318	9	36266
3000319	9	36739
3000000	9	36373
180	5	3115209
3000472	4	4307
3000474	4	3548
3000475	4	4403
3000476	4	3523
3000018	4	3042
3000477	12	301255
3000488	4	1495
3000515	4	5341
3000535	4	4329
3000537	4	5623
54	4	1831
259	4	1495
260	4	3335
3000016	4	2967
3000017	7	8593
3000018	4	60451
3000132	4	3660
464	3	195766
121	8	1356
3000134	4	2851
3000372	4	1203
514	9	36981
3000382	4	4260
1418	9	38199
3000412	8	1775
3000414	8	5253
3000416	4	4465
3000419	5	3432852
3000420	5	3713759
3000456	5	3713766
3000467	4	2979
3000280	4	5374
3000572	4	3904
3000018	3	60451
3000020	4	3039
3000021	4	3384
3000022	7	7865
3000023	7	8365
3000024	4	3024
3000025	4	3481
3000026	4	2696
3000027	4	3356
3000028	4	3255
3000029	4	3207
3000030	4	2371
3000031	4	2957
3000032	4	3160
3000033	4	3151
3000034	4	2897
3000035	4	2351
3000036	5	3325908
3000037	5	2330674
3000038	3	201455
3000039	3	61449
229	4	3547
3000076	8	1313
3000077	8	4087
3000078	8	396
3000079	8	3083
3000080	8	1757
3000081	8	2903
3000082	8	106
3000083	8	1598
3000084	8	2981
3000085	8	3933
3000086	8	4125
3000087	8	3711
3000088	8	4076
3000089	8	4064
3000090	8	1506
3000091	8	2240
3000092	8	3300
3000093	8	2323
3000094	8	421
3000095	8	3114
3000096	8	5257
3000097	8	3110
3000098	8	2654
3000099	8	2580
3000100	8	151
3000101	8	4103
3000102	8	3848
3000103	8	325
3000104	8	4055
3000105	8	4311
3000106	8	4981
3000107	8	1043
3000108	8	5154
3000109	8	2905
3000110	8	4207
441	8	5733
3000115	8	2462
3000117	6	1621
3000127	4	2863
3000128	4	2807
3000129	4	3790
3000130	8	2487
3000136	4	2448
3000137	7	8839
296	4	2374
275	8	2676
3000222	9	36969
3000285	9	36089
3000286	9	37351
3000287	9	24791
3000288	9	37537
3000289	9	25044
3000343	4	4446
3000344	4	3186
3000345	8	4054
3000346	4	3178
389	4	4802
3000347	3	222208
3000348	4	4244
3000392	13	582659
299	3	232849
3000427	9	35653
3000428	9	35725
3000429	9	38009
12813	3	235431
3000431	9	36586
396	8	212
3000434	4	5387
3000441	8	6693
3000449	4	3228
3000450	4	2783
3000451	4	2785
3000452	4	3031
3000479	4	3693
3000480	4	3595
3000495	3	122083
3000539	3	240961
1	4	1375
2	4	2208
3	4	251
4	6	4988
4	6	498
5	4	978
6	3	110257
7	5	829234
8	4	2712
9	5	2517162
10	3	24211
11	4	2485
12	4	2444
13	6	463
14	4	2675
15	5	2383215
16	4	361
17	4	1758
18	4	980
19	4	2884
19	3	54791
20	6	687
21	3	17793
22	5	1569747
23	6	307
24	4	797
25	4	1181
26	4	1995
27	4	1761
28	4	1635
29	3	32024
30	4	286
31	4	1433
32	4	2924
33	4	1356
34	5	1627087
35	4	1409
36	4	2629
37	5	2503677
38	4	1902
39	4	2460
40	5	2971895
41	4	2768
42	4	1959
43	4	1866
44	5	1037435
45	4	369
46	5	3061908
47	4	2198
48	6	1167
49	4	2683
50	4	1035
51	3	28639
52	4	1084
53	4	744
54	5	2153734
55	4	2167
56	4	1702
57	4	1958
58	4	1244
59	4	1520
60	4	1708
61	5	1850738
62	4	1670
63	3	36412
64	4	2387
65	4	2741
65	3	5126
66	3	193381
67	3	50092
68	6	325
69	4	488
70	4	1052
71	6	2888
71	6	288
72	3	69464
73	4	273
74	4	736
75	4	2584
76	4	2264
77	4	2232
78	4	2698
79	3	117653
79	4	3046
80	4	911
81	4	2102
82	4	350
83	6	975
84	4	1315
85	4	2515
86	4	1253
87	4	1394
88	4	385
89	4	2677
90	5	2639808
91	4	1806
92	4	2367
93	6	1168
94	4	3064
95	5	1438877
96	4	3109
97	3	979
98	5	1584790
99	4	1927
100	4	1663
101	4	1148
102	4	1729
103	4	1472
104	4	1961
105	4	2394
106	4	1593
107	3	189903
108	4	1134
109	4	2151
110	4	456
111	4	8
112	4	1186
113	4	422
114	3	122699
115	4	556
116	4	1023
116	5	2984047
117	4	2163
118	5	1957659
119	4	1311
120	4	2276
121	3	87819
122	4	952
123	6	14111
123	6	1411
124	6	972
125	4	1405
126	6	434
127	4	1221
128	4	2655
129	4	1423
130	4	1302
131	4	1897
132	4	1151
133	4	2959
134	4	586
135	4	2201
136	4	80
137	4	1625
138	4	3030
139	4	2150
140	3	170
141	4	2457
142	4	998
143	4	550
144	4	2314
145	4	1286
146	4	937
147	4	189
148	4	1268
149	4	649
150	4	1414
151	4	9
152	4	2571
153	4	2860
154	5	2921980
155	4	495
156	4	381
157	4	157
158	3	52866
159	4	547
160	3	79263
161	4	3035
162	4	1352
163	4	1351
164	3	189673
165	3	1856
166	5	2089536
167	4	2509
168	4	1261
169	4	2526
170	4	2187
171	4	2174
172	4	1964
173	4	1953
174	4	2254
174	5	2905841
175	4	3040
176	6	467
177	4	970
178	4	1613
179	4	2388
180	4	1404
181	3	19045
182	4	2272
183	4	1324
184	4	2484
185	6	1169
186	4	2043
187	4	1549
188	3	37051
189	3	21701
190	4	830
191	6	928
192	4	1837
193	4	2107
194	5	2189066
195	5	1822347
196	4	1320
197	4	1206
198	4	1969
199	4	2086
200	4	2251
201	4	3026
202	3	17183
203	4	2289
204	3	19134
205	4	3032
206	4	1431
207	4	1485
208	3	17211
209	6	1248
210	3	117665
211	4	1120
212	4	854
213	4	713
214	4	1318
215	4	1283
216	4	2005
217	4	2573
218	6	9744
218	6	974
219	3	61782
220	6	388
221	4	2191
222	4	686
223	4	2012
224	3	44307
225	5	2434152
226	5	2437890
227	5	2422173
228	4	1496
229	3	18150
230	3	18460
231	4	1107
232	4	2013
233	5	1055899
234	7	7585
235	4	1993
236	5	2503687
237	5	2022206
238	4	1246
239	6	279
240	4	2453
241	5	2720728
242	4	1305
243	4	2887
244	4	1238
245	4	1800
246	4	2082
247	4	2682
248	4	2239
249	4	2605
250	4	1685
251	5	1978557
252	4	987
253	4	1256
254	4	3029
255	6	464
256	7	6540
257	5	1522858
258	4	1298
259	3	22354
260	3	172663
261	3	17743
262	4	2678
263	4	868
264	3	81570
265	4	1521
266	4	1150
267	4	2185
268	4	2410
269	3	18461
270	4	380
271	4	1715
272	4	2527
273	4	2788
274	4	2562
275	4	1990
276	4	2532
277	3	122698
278	3	3125
279	4	1152
280	4	804
281	4	30
282	3	73881
283	4	2197
284	4	2202
285	6	674
286	4	2776
287	4	182
288	4	1946
289	4	2170
290	3	62095
291	3	103697
292	3	65165
293	6	631
294	6	727
295	4	2152
296	3	58330
297	7	7273
298	6	728
299	4	896
300	6	775
301	6	855
302	6	922
303	3	117898
303	5	3035280
304	4	1828
305	3	18377
306	4	2382
307	4	1322
308	4	1960
309	4	1714
310	4	2692
311	4	2389
312	4	1212
313	4	1137
314	4	580
315	4	782
316	4	2291
317	3	19545
318	6	758
319	4	2292
320	4	1456
321	4	164
322	5	2704210
323	4	1962
324	4	981
325	4	2431
326	3	58070
327	5	2040540
328	3	40263
329	4	2373
330	4	2804
331	4	1983
332	4	2392
333	6	718
334	4	1528
335	4	2604
336	5	1797996
337	4	1355
338	4	1732
339	4	948
340	4	2754
341	4	2044
342	4	1923
343	4	2769
344	4	3010
345	4	2395
346	6	1288
346	4	2548
347	4	1043
348	3	19372
349	4	1750
350	4	3027
351	4	2767
352	4	2592
353	4	1487
354	4	2787
355	5	1562723
356	4	1227
357	4	1443
358	6	339
359	4	2381
360	4	1374
361	4	2085
362	4	535
363	4	1074
364	4	2449
365	5	1876573
366	4	2269
367	4	974
368	6	542
369	6	1189
370	4	2537
371	4	4
372	5	2143822
373	3	135205
374	4	1362
375	4	2525
376	5	2136621
377	4	2622
378	4	2175
379	3	17182
380	4	1818
381	4	1337
382	3	68951
383	5	2876503
384	4	3011
385	4	1428
386	6	1287
386	4	2547
387	5	449859
388	4	1924
389	3	16898
390	4	1936
391	4	1736
392	5	1036127
393	4	2283
394	4	2186
395	6	825
396	4	352
397	4	2684
398	4	2384
399	4	1752
400	6	2733
400	6	273
401	6	617
402	7	7365
403	6	1447
404	3	81681
405	4	2479
406	4	2450
407	4	1270
408	4	2271
409	4	465
410	4	1465
411	4	2578
412	3	76905
413	4	2399
414	4	1757
415	4	2538
416	4	2077
417	5	2722964
418	6	1022
419	6	153
420	7	5074
421	4	1109
422	6	621
423	4	282
424	4	1846
425	4	1805
426	4	2419
427	4	2764
428	4	2877
429	5	1440221
430	4	1194
431	3	49692
432	5	1212346
433	4	2290
434	6	1241
435	4	2241
436	3	190793
436	5	1752573
437	4	1745
438	4	2735
439	4	1525
440	4	1764
441	4	2353
442	6	12866
442	6	1286
443	4	2210
444	6	1332
445	4	2002
446	4	2040
447	5	2266255
448	4	1737
449	4	2324
450	4	1202
451	4	2172
452	4	2574
453	4	1548
454	3	62993
455	4	1857
456	4	1600
457	3	52354
458	4	2521
459	3	3128
460	4	2209
461	4	2687
462	4	2591
463	4	1132
464	6	224
465	4	1845
466	3	103399
467	4	2445
468	3	22212
469	4	1127
470	4	1421
471	3	61747
472	4	2533
473	5	3118079
474	3	28483
475	3	191002
476	4	3023
477	8	1001906
477	8	1906
478	9	35644
479	5	2829013
480	9	35189
481	3	190487
482	3	192372
483	9	24318
484	9	24789
485	9	35599
486	3	192660
487	3	192568
488	4	1901
489	3	54881
490	4	2411
491	9	35618
492	4	3028
493	9	24990
494	3	192748
495	9	35151
496	5	3090276
497	9	35664
498	9	24561
499	9	35402
500	9	24865
501	4	2738
502	5	2895613
503	6	1413
504	8	1001106
504	8	1106
505	4	2704
506	9	24934
507	4	3138
508	8	1000867
508	8	867
509	3	151084
510	3	44012
511	9	24352
512	3	190204
513	8	1000822
513	8	822
514	3	175364
515	3	190211
516	8	1000270
516	8	270
517	9	35243
518	8	1000437
518	8	437
519	9	35205
520	8	1000418
520	8	418
521	10	2
522	8	1001520
522	8	1520
